ФИО,id_client,birthday,e-mail,password,series,nomer,index,city,street,house,flat
Наумов Руслан Михайлович,45462553,11.10.1999,lori17@hotmail.com,cl12372,1806,289145,420151, г. Санкт-Петербург, ул. Вишневая,32, кв. 81
Бочаров Никита Матвеевич,45462554,29.06.1997,campbellkevin@gardner.com,cl12373,1587,291249,125061, г. Санкт-Петербург, ул. Подгорная,8, кв. 74
Соловьев Давид Ильич,45462555,06.03.1984,morganhoward@clark.com,cl12374,1647,306372,630370, г. Санкт-Петербург, ул. Шоссейная,24, кв. 81
Васильева Валерия Дмитриевна,45462556,30.09.1999,carsontamara@gmail.com,cl12375,1742,316556,614753, г. Санкт-Петербург, ул. Полевая,35, кв. 39
Макарова Василиса Андреевна,45462557,08.04.1999,kevinpatel@gmail.com,cl12376,1474,326347,426030, г. Санкт-Петербург, ул. Маяковского,44, кв. 93
Алексеев Матвей Викторович,45462558,02.08.1998,sethbishop@yahoo.com,cl12377,1452,339539,450375, г. Санкт-Петербург, ул. Клубная,44, кв. 80
Никитина Полина Александровна,45462559,19.09.1976,drollins@schultz-soto.net,cl12378,2077,443480,625560, г. Санкт-Петербург, ул. Некрасова,12, кв. 66
Окулова Олеся Алексеевна,45462560,03.04.1999,pblack@copeland-winters.org,cl12379,2147,357518,630201, г. Санкт-Петербург, ул. Комсомольская,17, кв. 25
Захарова Полина Яновна,45462561,21.04.1976,johnathon.oberbrunner@yahoo.com,cl12380,2687,363884,190949, г. Санкт-Петербург, ул. Мичурина,26, кв. 93
Зайцев Владимир Давидович,45462562,26.01.1998,bradly29@gmail.com,cl12381,2376,443711,350501, г. Санкт-Петербург, ул. Парковая,2, кв. 7
Иванов Виталий Даниилович,45462563,11.08.1976,stark.cristina@hilpert.biz,cl12382,2568,386237,450048, г. Санкт-Петербург, ул. Коммунистическая,21, кв. 3
Захаров Матвей Романович,45462564,12.07.1993,bruen.eleanore@yahoo.com,cl12383,2556,439376,644921, г. Санкт-Петербург, ул. Школьная,46, кв. 37
Иванов Степан Степанович,45462565,19.09.1998,percival.halvorson@yahoo.com,cl12384,2737,407501,614228, г. Санкт-Петербург, ул. Дорожная,36, кв. 54
Ткачева Милана Тимуровна,45462566,24.05.1998,javonte71@kuhlman.biz,cl12385,2581,441645,350940, г. Санкт-Петербург, ул. Первомайская,23, кв. 2
Семенов Даниил Иванович,45462567,04.01.1976,vconnelly@kautzer.com,cl12386,2675,427933,344990, г. Санкт-Петербург, ул. Красноармейская,19, кв. 92
Виноградов Вячеслав Дмитриевич,45462568,12.07.1976,anabelle07@schultz.info,cl12387,2967,434531,410248, г. Санкт-Петербург, ул. Чкалова,11, кв. 75
Соболева Николь Фёдоровна,45462569,02.05.1976,nitzsche.katlynn@yahoo.com,cl12388,3070,449655,400839, г. Санкт-Петербург, ул. 8 Марта,46, кв. 44
Тихонова Анна Львовна,45462570,23.03.1985,corine16@von.com,cl12389,3108,451174,450539, г. Санкт-Петербург, ул. Заводская,3, кв. 81
Кузнецова Ульяна Савельевна,45462571,03.06.1999,otha.wisozk@lubowitz.org,cl12390,3250,464705,614591, г. Санкт-Петербург, ул. Цветочная,20, кв. 40
Смирнова Анна Германовна,45462572,18.07.1997,may.kirlin@hotmail.com,cl12391,3392,471644,400260, г. Санкт-Петербург, ул. Больничная,30, кв. 53
Черепанова Анна Давидовна,45462573,06.11.1985,bryana.kautzer@yahoo.com,cl12392,3497,487819,660924, г. Санкт-Петербург, ул. Молодежная,32, кв. 59
Григорьев Максим Кириллович,45462574,26.05.1999,deborah.christiansen@quigley.biz,cl12393,3560,491260,644133, г. Санкт-Петербург, ул. Гагарина,28, кв. 69
Голубев Даниэль Александрович,45462575,14.06.1999,connelly.makayla@yahoo.com,cl12394,3620,506034,450698, г. Санкт-Петербург, ул. Вокзальная,14, кв. 37
Миронов Юрий Денисович,45462576,26.01.1985,tatum.collins@fay.org,cl12395,3774,511438,620653, г. Санкт-Петербург, ул. Западная,15, кв. 25
Терехов Михаил Андреевич,45462577,06.07.1976,itzel73@anderson.com,cl12396,3862,521377,644321, г. Санкт-Петербург, ул. Клубная,32, кв. 10
Орлова Алиса Михайловна,45462578,24.02.1997,arjun39@hotmail.com,cl12397,3084,535966,603653, г. Санкт-Петербург, ул. Молодежная,2, кв. 45
Кулаков Константин Даниилович,45462579,20.06.1993,ohara.rebeka@yahoo.com,cl12398,4021,541528,410181, г. Санкт-Петербург, ул. Механизаторов,16, кв. 74
Кудрявцев Максим Романович,45462580,10.05.1998,danika58@rath.com,cl12399,4109,554053,394207, г. Санкт-Петербург, ул. Свердлова,31, кв. 28
Соболева Кира Фёдоровна,45462581,14.03.1998,janae.bogan@gmail.com,cl12400,4537,564868,420633, г. Санкт-Петербург, ул. Матросова,18, кв. 41
Коновалов Арсений Максимович,45462582,18.02.1985,vern91@yahoo.com,cl12401,4914,572471,445720, г. Санкт-Петербург, ул. Матросова,50, кв. 67
Гусев Михаил Дмитриевич,45462583,23.11.1999,mariana.leannon@larkin.net,cl12402,4445,581302,400646, г. Санкт-Петербург, ул. Октябрьская,47, кв. 65
Суханова Варвара Матвеевна,45462584,13.09.1993,vmoore@gmail.com,cl12403,4743,598180,644410, г. Санкт-Петербург, ул. Красная,17, кв. 69
Орлова Ясмина Васильевна,45462585,24.06.1984,damon.mcclure@mills.com,cl12404,4741,601821,400750, г. Санкт-Петербург, ул. Школьная,36, кв. 71
Васильева Ксения Константиновна,45462586,01.08.1999,grady.reilly@block.com,cl12405,4783,612567,660590, г. Санкт-Петербург, ул. Дачная,37, кв. 70
Борисова Тамара Данииловна,45462587,29.05.1993,boyd.koss@yahoo.com,cl12406,4658,621200,426083, г. Санкт-Петербург, ул. Механизаторов,41, кв. 26
Дмитриев Мирон Ильич,45462588,13.04.1985,obartell@franecki.info,cl12407,4908,634613,410569, г. Санкт-Петербург, ул. Парковая,36, кв. 17
Лебедева Анна Александровна,45462589,30.03.1985,reina75@ferry.net,cl12408,5092,642468,443375, г. Санкт-Петербург, ул. Дзержинского,50, кв. 95
Пономарев Артём Маркович,45462590,02.06.1984,karson28@hotmail.com,cl12409,5155,465274,614316, г. Санкт-Петербург, ул. Первомайская,48, кв. 31
Борисова Елена Михайловна,45462591,23.05.1976,damaris61@okon.com,cl12410,5086,666893,445685, г. Санкт-Петербург, ул. Зеленая,7, кв. 47
Моисеев Камиль Максимович,45462592,17.06.1999,carroll.jerod@hotmail.com,cl12411,5333,675375,614505, г. Санкт-Петербург, ул. Нагорная,37, кв. 31
Герасимова Дарья Константиновна,45462593,13.10.1984,ron.treutel@quitzon.com,cl12412,5493,684572,426629, г. Санкт-Петербург, ул. Весенняя,32, кв. 46
Михайлова Мария Марковна,45462594,02.12.1976,olen79@yahoo.com,cl12413,5150,696226,603743, г. Санкт-Петербург, ул. Матросова,19, кв. 20
Коршунов Кирилл Максимович,45462595,22.05.1985,pacocha.robbie@yahoo.com,cl12414,1308,703305,450750, г. Санкт-Петербург, ул. Клубная,23, кв. 90
